token_age_b,transfers,transactions,buys_m5,sells_m5,buys_h1,sells_h1,volume_m5,volume_h1,price_change_m5,price_change_h1,price_change_h6,price_change_h24,liquidity,market_cap,is_mutable_metadata,is_telegram,is_twitter,is_website,boosts,telegram_members,twitter_days,twitter_tweets,twitter_followers,twitter_smart_followers,sns_held_all,sns_sold_some,sns_sold_all,PNL,profit,sns_most_common,sns_most_common_except_0,tt_f10_bought,tt_f10_sold,sns_f10_bought,sns_f10_sold,sns_no_bought,sns_no_sold,tt_no_bought,tt_no_sold,sns_pnl_loss,tt_pnl_loss
12.81,0.0,3789.0,452.0,1675.0,1342.0,2447.0,150727.84,331403.0,-96.01,-90.73,-90.73,-90.73,11757.86,8680.0,0,0,0,0,100,0,0,0,0,0,10,23,67,-25.88,0,0.0,23.0,33825.0,89812.0,23620.480000000003,26738.72,14,10,21,0,40,0
18.16,0.0,4762.0,590.0,540.0,2520.0,2242.0,367462.33,1450411.67,18.14,384.0,384.0,384.0,86828.9,440651.0,0,1,1,0,0,147,0,0,0,0,9,24,67,-28.55,0,0.0,23.0,71589.0,174887.0,67792.15,84638.54999999999,24,9,51,0,6,0
8.09,0.0,982.0,396.0,251.0,612.0,370.0,85084.28,145028.04,-15.82,31.91,31.91,31.91,42082.8,113283.0,0,0,0,0,0,0,0,0,0,0,32,12,56,-23.96,0,0.0,47.0,16767.0,39469.0,11795.740000000002,13353.140000000001,19,32,71,0,11,0
28.06,0.0,249.0,0.0,4.0,109.0,140.0,179.86,39148.32,-7.94,-95.28,-95.28,-95.28,8304.79,4438.0,0,0,0,0,0,0,0,0,0,0,13,4,83,3.13,0,0.0,11.0,5383.4100000000035,25821.199999999997,8337.650000000001,23144.649999999994,45,13,50,18,33,16
31.05,0.0,974.0,0.0,1.0,496.0,478.0,96.15,165255.02,-2.6,-94.98,-94.98,-94.98,8470.91,4565.0,0,0,0,0,0,0,0,0,0,0,25,9,66,-0.11,0,0.0,23.0,7967.0,52388.0,35737.58999999999,30893.419999999995,13,25,92,0,49,0
50.54,0.0,1359.0,59.0,29.0,791.0,568.0,14037.86,180159.75,29.83,72.28,72.28,72.28,49671.54,156998.0,0,1,1,1,10,23,0,0,85,0,15,6,79,-27.72,0,0.0,23.0,12780.0,38073.0,6424.799999999998,11589.170000000002,31,15,62,0,39,0
21.95,0.0,1491.0,293.0,44.0,1333.0,158.0,34504.56,505371.5,4.59,6190257.0,6190257.0,6190257.0,829232.73,7278223590.0,1,0,1,0,10,0,0,0,0,0,71,9,20,60.48,1,0.1,0.1,23362.730000000003,42602.829999999994,365319.13999999943,3752.1499999999996,13,71,25,23,7,1
15.62,0.0,2562.0,110.0,53.0,1691.0,871.0,27217.11,227720.83,68.72,-16.4,-16.4,-16.4,34633.15,75505.0,0,1,0,1,0,9,0,0,0,0,17,12,71,-20.23,0,0.0,23.0,19395.23,44756.0,22848.129999999997,29550.82,18,17,62,0,50,0
30.39,0.0,3298.0,97.0,83.0,1798.0,1500.0,36302.27,716847.69,58.04,267.0,267.0,267.0,73423.1,334855.0,0,1,1,0,0,2,0,0,218160,6,34,23,43,-20.58,0,11.0,11.0,66256.23,179603.0,44778.27,56841.09,9,34,35,0,16,0
48.11,0.0,8687.0,120.0,113.0,4698.0,3989.0,60030.45,2397800.4,24.02,342.0,342.0,342.0,94219.83,497715.0,0,1,0,0,0,1,0,0,0,0,10,23,67,-20.29,0,0.0,23.0,134965.0,329393.0,80086.03,117811.73000000001,28,10,54,0,7,0
39.38,0.0,17241.0,190.0,69.0,9053.0,8188.0,31480.09,869064.3,11.41,264.0,264.0,264.0,77974.64,369092.0,0,1,1,1,500,23,0,0,0,0,19,15,66,61.22,1,23.0,23.0,15287.0,61935.0,20628.89,21736.76,4,19,77,0,45,0
4.01,0.0,201.0,131.0,70.0,131.0,70.0,44910.71,44910.71,-26.01,-26.01,-26.01,-26.01,32336.75,67516.0,0,0,0,0,0,0,0,0,0,0,36,12,52,-23.26,0,0.0,23.0,11729.329999999996,22445.690000000006,15227.850000000002,20823.22,13,36,17,32,28,26
2.9,0.0,308.0,214.0,94.0,214.0,94.0,148504.09,148504.09,257942.0,257942.0,257942.0,257942.0,170129.98,295032984.0,1,0,0,0,0,0,0,0,0,0,69,9,22,-25.49,0,0.1,0.1,9243.309999999998,44705.71,81937.06999999998,40752.78,15,69,16,63,4,3
2.99,0.0,395.0,248.0,147.0,248.0,147.0,65098.71,65098.71,41.76,41.76,41.76,41.76,45431.95,133240.0,0,0,0,0,0,0,0,0,0,0,43,3,54,-20.05,0,0.0,11.0,15369.32,28416.13,7073.249999999999,10267.769999999999,27,43,54,0,9,0
2.45,0.0,115.0,76.0,39.0,76.0,39.0,90377.4,90377.4,138198.0,138198.0,138198.0,138198.0,124300.39,157882231.0,1,0,0,0,0,0,0,0,0,0,66,6,28,-28.2,0,0.0,0.1,11400.059999999998,43089.299999999996,90174.18,37011.26,16,66,22,55,5,11
2.83,0.0,164.0,124.0,40.0,124.0,40.0,36996.54,36996.54,74.41,74.41,74.41,74.41,52208.39,176808.0,0,1,1,1,0,3,0,0,0,0,51,13,36,71.83,1,23.0,23.0,10348.880000000001,15796.34,21954.76,17453.059999999998,8,51,8,55,14,8
